 370: max:0.714, min:0.476, mean:0.635
 371: max:0.714, min:0.429, mean:0.617
 372: max:0.762, min:0.476, mean:0.634
 373: max:0.714, min:0.476, mean:0.631
 374: max:0.762, min:0.476, mean:0.631
 375: max:0.714, min:0.476, mean:0.628
 376: max:0.714, min:0.381, mean:0.636
 377: max:0.714, min:0.524, mean:0.641
 378: max:0.714, min:0.476, mean:0.639
 379: max:0.714, min:0.476, mean:0.633
 380: max:0.714, min:0.429, mean:0.629
 381: max:0.714, min:0.429, mean:0.622
 382: max:0.714, min:0.476, mean:0.620
 383: max:0.714, min:0.476, mean:0.617
 384: max:0.714, min:0.524, mean:0.618
 385: max:0.714, min:0.476, mean:0.619
 386: max:0.714, min:0.476, mean:0.625
 387: max:0.714, min:0.476, mean:0.625
 388: max:0.714, min:0.476, mean:0.632
 389: max:0.762, min:0.476, mean:0.624
 390: max:0.714, min:0.476, mean:0.615
 391: max:0.714, min:0.476, mean:0.603
 392: max:0.714, min:0.476, mean:0.606
 393: max:0.714, min:0.381, mean:0.602
 394: max:0.714, min:0.476, mean:0.608
 395: max:0.714, min:0.476, mean:0.611
 396: max:0.714, min:0.476, mean:0.613
 397: max:0.714, min:0.524, mean:0.620
 398: max:0.714, min:0.524, mean:0.621
 399: max:0.714, min:0.524, mean:0.621
 400: max:0.714, min:0.476, mean:0.620
 401: max:0.714, min:0.476, mean:0.620
 402: max:0.714, min:0.429, mean:0.620
 403: max:0.714, min:0.429, mean:0.619
 404: max:0.714, min:0.476, mean:0.617
 405: max:0.714, min:0.476, mean:0.620
 406: max:0.714, min:0.429, mean:0.614
 407: max:0.714, min:0.429, mean:0.611
 408: max:0.714, min:0.524, mean:0.610
 409: max:0.667, min:0.476, mean:0.610
 410: max:0.667, min:0.476, mean:0.604
 411: max:0.714, min:0.429, mean:0.593
 412: max:0.667, min:0.476, mean:0.603
 413: max:0.667, min:0.429, mean:0.604
 414: max:0.667, min:0.476, mean:0.597
 415: max:0.667, min:0.476, mean:0.598
 416: max:0.667, min:0.476, mean:0.595
 417: max:0.667, min:0.381, mean:0.587
 418: max:0.667, min:0.476, mean:0.594
 419: max:0.667, min:0.429, mean:0.591
 420: max:0.667, min:0.381, mean:0.587
 421: max:0.667, min:0.476, mean:0.589
 422: max:0.667, min:0.476, mean:0.580
 423: max:0.667, min:0.476, mean:0.580
 424: max:0.667, min:0.476, mean:0.578
 425: max:0.667, min:0.476, mean:0.588
 426: max:0.667, min:0.429, mean:0.580
 427: max:0.667, min:0.429, mean:0.573
 428: max:0.667, min:0.429, mean:0.574
 429: max:0.667, min:0.381, mean:0.573
 430: max:0.667, min:0.429, mean:0.584
 431: max:0.667, min:0.476, mean:0.585
 432: max:0.714, min:0.476, mean:0.588
 433: max:0.714, min:0.429, mean:0.587
 434: max:0.714, min:0.381, mean:0.591
 435: max:0.714, min:0.429, mean:0.603
 436: max:0.714, min:0.476, mean:0.604
 437: max:0.714, min:0.476, mean:0.610
 438: max:0.714, min:0.476, mean:0.616
 439: max:0.714, min:0.476, mean:0.625
 440: max:0.714, min:0.476, mean:0.629
 441: max:0.714, min:0.476, mean:0.637
 442: max:0.714, min:0.476, mean:0.631
 443: max:0.714, min:0.476, mean:0.622
 444: max:0.714, min:0.476, mean:0.623
 445: max:0.714, min:0.429, mean:0.619
 446: max:0.714, min:0.476, mean:0.605
 447: max:0.714, min:0.476, mean:0.608
 448: max:0.714, min:0.429, mean:0.611
 449: max:0.714, min:0.476, mean:0.603
 450: max:0.714, min:0.429, mean:0.613
 451: max:0.714, min:0.429, mean:0.609
 452: max:0.762, min:0.476, mean:0.610
 453: max:0.762, min:0.429, mean:0.612
 454: max:0.762, min:0.476, mean:0.618
 455: max:0.714, min:0.476, mean:0.613
 456: max:0.714, min:0.429, mean:0.611
 457: max:0.714, min:0.429, mean:0.602
 458: max:0.714, min:0.476, mean:0.609
 459: max:0.714, min:0.476, mean:0.603
 460: max:0.714, min:0.476, mean:0.604
 461: max:0.714, min:0.429, mean:0.610
 462: max:0.714, min:0.429, mean:0.611
 463: max:0.714, min:0.476, mean:0.613
 464: max:0.714, min:0.476, mean:0.614
 465: max:0.714, min:0.476, mean:0.603
 466: max:0.714, min:0.476, mean:0.614
 467: max:0.714, min:0.476, mean:0.604
 468: max:0.714, min:0.476, mean:0.603
 469: max:0.714, min:0.429, mean:0.610
 470: max:0.714, min:0.476, mean:0.615
 471: max:0.714, min:0.476, mean:0.617
 472: max:0.714, min:0.381, mean:0.607
 473: max:0.714, min:0.429, mean:0.606
 474: max:0.714, min:0.476, mean:0.607
 475: max:0.714, min:0.429, mean:0.607
 476: max:0.714, min:0.429, mean:0.606
 477: max:0.714, min:0.476, mean:0.616
 478: max:0.714, min:0.429, mean:0.619
 479: max:0.714, min:0.476, mean:0.628
 480: max:0.714, min:0.476, mean:0.629
 481: max:0.714, min:0.524, mean:0.633
 482: max:0.714, min:0.524, mean:0.635
 483: max:0.714, min:0.476, mean:0.628
 484: max:0.714, min:0.476, mean:0.623
 485: max:0.714, min:0.524, mean:0.618
 486: max:0.714, min:0.429, mean:0.612
 487: max:0.714, min:0.476, mean:0.618
 488: max:0.714, min:0.476, mean:0.611
 489: max:0.714, min:0.429, mean:0.612
 490: max:0.714, min:0.476, mean:0.608
 491: max:0.714, min:0.476, mean:0.604
 492: max:0.714, min:0.429, mean:0.605
 493: max:0.714, min:0.476, mean:0.607
 494: max:0.714, min:0.429, mean:0.601
 495: max:0.714, min:0.476, mean:0.604
 496: max:0.714, min:0.476, mean:0.610
 497: max:0.714, min:0.476, mean:0.616
 498: max:0.714, min:0.429, mean:0.610
 499: max:0.714, min:0.429, mean:0.618
 500: max:0.714, min:0.476, mean:0.620
 501: max:0.714, min:0.524, mean:0.630
 502: max:0.714, min:0.524, mean:0.626
 503: max:0.714, min:0.476, mean:0.624
 504: max:0.714, min:0.476, mean:0.627
 505: max:0.714, min:0.524, mean:0.632
 506: max:0.714, min:0.476, mean:0.625
 507: max:0.714, min:0.524, mean:0.623
 508: max:0.714, min:0.524, mean:0.630
 509: max:0.714, min:0.476, mean:0.625
 510: max:0.714, min:0.524, mean:0.625
 511: max:0.714, min:0.429, mean:0.610
 512: max:0.667, min:0.476, mean:0.605
 513: max:0.667, min:0.476, mean:0.596
 514: max:0.667, min:0.429, mean:0.598
 515: max:0.714, min:0.381, mean:0.595
 516: max:0.714, min:0.476, mean:0.603
 517: max:0.714, min:0.429, mean:0.597
 518: max:0.714, min:0.429, mean:0.600
 519: max:0.714, min:0.476, mean:0.594
 520: max:0.667, min:0.476, mean:0.587
 521: max:0.714, min:0.429, mean:0.590
 522: max:0.714, min:0.476, mean:0.598
 523: max:0.714, min:0.476, mean:0.618
 524: max:0.714, min:0.429, mean:0.615
 525: max:0.714, min:0.476, mean:0.620
 526: max:0.714, min:0.476, mean:0.623
 527: max:0.762, min:0.476, mean:0.631
 528: max:0.714, min:0.429, mean:0.638
 529: max:0.714, min:0.476, mean:0.638
 530: max:0.714, min:0.524, mean:0.642
 531: max:0.714, min:0.476, mean:0.643
 532: max:0.714, min:0.524, mean:0.642
 533: max:0.714, min:0.524, mean:0.649
 534: max:0.762, min:0.524, mean:0.652
 535: max:0.762, min:0.524, mean:0.646
 536: max:0.762, min:0.524, mean:0.646
 537: max:0.810, min:0.524, mean:0.643
 538: max:0.810, min:0.524, mean:0.635
 539: max:0.810, min:0.476, mean:0.637
 540: max:0.810, min:0.476, mean:0.633
 541: max:0.810, min:0.429, mean:0.630
 542: max:0.810, min:0.524, mean:0.654
 543: max:0.810, min:0.476, mean:0.652
 544: max:0.810, min:0.429, mean:0.664
 545: max:0.810, min:0.524, mean:0.679
 546: max:0.810, min:0.571, mean:0.682
 547: max:0.810, min:0.524, mean:0.678
 548: max:0.762, min:0.476, mean:0.660
 549: max:0.762, min:0.476, mean:0.650
 550: max:0.762, min:0.476, mean:0.645
 551: max:0.762, min:0.429, mean:0.648
 552: max:0.762, min:0.524, mean:0.640
 553: max:0.714, min:0.476, mean:0.630
 554: max:0.714, min:0.524, mean:0.637
 555: max:0.714, min:0.476, mean:0.623
 556: max:0.714, min:0.476, mean:0.611
 557: max:0.714, min:0.524, mean:0.610
 558: max:0.714, min:0.476, mean:0.605
 559: max:0.714, min:0.476, mean:0.613
 560: max:0.714, min:0.476, mean:0.611
 561: max:0.714, min:0.429, mean:0.607
 562: max:0.714, min:0.476, mean:0.606
 563: max:0.714, min:0.476, mean:0.610
 564: max:0.714, min:0.429, mean:0.607
 565: max:0.714, min:0.476, mean:0.623
 566: max:0.714, min:0.476, mean:0.616
 567: max:0.667, min:0.476, mean:0.617
 568: max:0.667, min:0.476, mean:0.610
 569: max:0.667, min:0.476, mean:0.601
 570: max:0.714, min:0.476, mean:0.601
 571: max:0.714, min:0.429, mean:0.595
 572: max:0.714, min:0.476, mean:0.597
 573: max:0.714, min:0.524, mean:0.603
 574: max:0.667, min:0.429, mean:0.593
 575: max:0.667, min:0.476, mean:0.597
 576: max:0.667, min:0.429, mean:0.586
 577: max:0.667, min:0.429, mean:0.593
 578: max:0.667, min:0.476, mean:0.582
 579: max:0.667, min:0.429, mean:0.590
 580: max:0.667, min:0.429, mean:0.589
 581: max:0.667, min:0.381, mean:0.590
 582: max:0.667, min:0.429, mean:0.593
 583: max:0.667, min:0.476, mean:0.596
 584: max:0.667, min:0.476, mean:0.595
 585: max:0.667, min:0.476, mean:0.595
 586: max:0.714, min:0.381, mean:0.593
 587: max:0.714, min:0.429, mean:0.594
 588: max:0.667, min:0.429, mean:0.592
 589: max:0.667, min:0.429, mean:0.580
 590: max:0.667, min:0.381, mean:0.575
 591: max:0.667, min:0.429, mean:0.582
 592: max:0.667, min:0.476, mean:0.575
 593: max:0.667, min:0.476, mean:0.572
 594: max:0.667, min:0.381, mean:0.575
 595: max:0.667, min:0.476, mean:0.572
 596: max:0.667, min:0.476, mean:0.575
 597: max:0.667, min:0.476, mean:0.580
 598: max:0.714, min:0.476, mean:0.581
 599: max:0.667, min:0.524, mean:0.589
 600: max:0.667, min:0.429, mean:0.592
 601: max:0.667, min:0.476, mean:0.601
 602: max:0.667, min:0.524, mean:0.602
 603: max:0.714, min:0.476, mean:0.604
 604: max:0.667, min:0.476, mean:0.595
 605: max:0.667, min:0.476, mean:0.601
 606: max:0.667, min:0.476, mean:0.593
 607: max:0.667, min:0.476, mean:0.599
 608: max:0.667, min:0.381, mean:0.592
 609: max:0.667, min:0.476, mean:0.593
 610: max:0.667, min:0.429, mean:0.586
 611: max:0.667, min:0.476, mean:0.586
 612: max:0.667, min:0.476, mean:0.594
 613: max:0.667, min:0.429, mean:0.599
 614: max:0.667, min:0.476, mean:0.600
 615: max:0.714, min:0.476, mean:0.600
 616: max:0.714, min:0.476, mean:0.605
 617: max:0.667, min:0.476, mean:0.607
 618: max:0.667, min:0.476, mean:0.606
 619: max:0.667, min:0.476, mean:0.607
 620: max:0.714, min:0.476, mean:0.591
 621: max:0.667, min:0.429, mean:0.583
 622: max:0.667, min:0.429, mean:0.592
 623: max:0.667, min:0.476, mean:0.587
 624: max:0.667, min:0.429, mean:0.595
 625: max:0.667, min:0.476, mean:0.592
 626: max:0.667, min:0.476, mean:0.593
 627: max:0.667, min:0.429, mean:0.589
 628: max:0.667, min:0.476, mean:0.593
 629: max:0.667, min:0.429, mean:0.590
 630: max:0.667, min:0.429, mean:0.593
 631: max:0.667, min:0.476, mean:0.598
 632: max:0.667, min:0.476, mean:0.612
 633: max:0.667, min:0.524, mean:0.610
