 287: max:0.714, min:0.464, mean:0.599
 288: max:0.714, min:0.500, mean:0.604
 289: max:0.714, min:0.500, mean:0.602
 290: max:0.714, min:0.500, mean:0.601
 291: max:0.714, min:0.500, mean:0.608
 292: max:0.714, min:0.536, mean:0.612
 293: max:0.714, min:0.536, mean:0.610
 294: max:0.679, min:0.500, mean:0.609
 295: max:0.679, min:0.464, mean:0.610
 296: max:0.679, min:0.500, mean:0.609
 297: max:0.679, min:0.500, mean:0.616
 298: max:0.679, min:0.500, mean:0.616
 299: max:0.679, min:0.464, mean:0.621
 300: max:0.679, min:0.500, mean:0.631
 301: max:0.679, min:0.500, mean:0.627
 302: max:0.679, min:0.500, mean:0.626
 303: max:0.679, min:0.500, mean:0.630
 304: max:0.714, min:0.500, mean:0.632
 305: max:0.679, min:0.500, mean:0.629
 306: max:0.679, min:0.500, mean:0.625
 307: max:0.679, min:0.536, mean:0.626
 308: max:0.679, min:0.464, mean:0.627
 309: max:0.679, min:0.500, mean:0.625
 310: max:0.679, min:0.500, mean:0.621
 311: max:0.714, min:0.536, mean:0.622
 312: max:0.714, min:0.536, mean:0.627
 313: max:0.714, min:0.500, mean:0.621
 314: max:0.714, min:0.464, mean:0.620
 315: max:0.714, min:0.536, mean:0.621
 316: max:0.679, min:0.500, mean:0.613
 317: max:0.714, min:0.500, mean:0.611
 318: max:0.679, min:0.464, mean:0.615
 319: max:0.679, min:0.500, mean:0.615
 320: max:0.679, min:0.464, mean:0.618
 321: max:0.679, min:0.500, mean:0.614
 322: max:0.679, min:0.536, mean:0.620
 323: max:0.679, min:0.500, mean:0.620
 324: max:0.679, min:0.500, mean:0.623
 325: max:0.679, min:0.500, mean:0.626
 326: max:0.679, min:0.536, mean:0.624
 327: max:0.714, min:0.464, mean:0.628
 328: max:0.714, min:0.536, mean:0.634
 329: max:0.714, min:0.500, mean:0.636
 330: max:0.714, min:0.536, mean:0.629
 331: max:0.714, min:0.500, mean:0.625
 332: max:0.714, min:0.536, mean:0.625
 333: max:0.714, min:0.536, mean:0.628
 334: max:0.679, min:0.536, mean:0.629
 335: max:0.679, min:0.500, mean:0.626
 336: max:0.714, min:0.500, mean:0.634
 337: max:0.714, min:0.500, mean:0.635
 338: max:0.714, min:0.536, mean:0.627
 339: max:0.714, min:0.536, mean:0.632
 340: max:0.714, min:0.536, mean:0.637
 341: max:0.714, min:0.536, mean:0.640
 342: max:0.750, min:0.536, mean:0.640
 343: max:0.714, min:0.536, mean:0.634
 344: max:0.714, min:0.500, mean:0.633
 345: max:0.714, min:0.536, mean:0.629
 346: max:0.714, min:0.500, mean:0.630
 347: max:0.679, min:0.536, mean:0.631
 348: max:0.714, min:0.500, mean:0.630
 349: max:0.714, min:0.500, mean:0.631
 350: max:0.714, min:0.536, mean:0.630
 351: max:0.714, min:0.536, mean:0.637
 352: max:0.714, min:0.536, mean:0.635
 353: max:0.714, min:0.536, mean:0.637
 354: max:0.714, min:0.536, mean:0.635
 355: max:0.714, min:0.500, mean:0.639
 356: max:0.714, min:0.571, mean:0.637
 357: max:0.679, min:0.500, mean:0.620
 358: max:0.679, min:0.500, mean:0.622
 359: max:0.714, min:0.500, mean:0.621
 360: max:0.714, min:0.500, mean:0.625
 361: max:0.714, min:0.536, mean:0.626
 362: max:0.714, min:0.536, mean:0.629
 363: max:0.714, min:0.500, mean:0.629
 364: max:0.714, min:0.536, mean:0.632
 365: max:0.714, min:0.571, mean:0.635
 366: max:0.714, min:0.500, mean:0.632
 367: max:0.750, min:0.536, mean:0.637
 368: max:0.714, min:0.536, mean:0.642
 369: max:0.714, min:0.536, mean:0.639
 370: max:0.714, min:0.536, mean:0.633
 371: max:0.714, min:0.536, mean:0.632
 372: max:0.714, min:0.536, mean:0.638
 373: max:0.714, min:0.500, mean:0.635
 374: max:0.714, min:0.536, mean:0.634
 375: max:0.714, min:0.536, mean:0.644
 376: max:0.714, min:0.571, mean:0.648
 377: max:0.714, min:0.536, mean:0.646
 378: max:0.714, min:0.536, mean:0.645
 379: max:0.714, min:0.500, mean:0.652
