 291: max:0.714, min:0.500, mean:0.601
 292: max:0.750, min:0.500, mean:0.600
 293: max:0.714, min:0.464, mean:0.597
 294: max:0.714, min:0.464, mean:0.595
 295: max:0.714, min:0.464, mean:0.593
 296: max:0.714, min:0.464, mean:0.595
 297: max:0.750, min:0.464, mean:0.596
 298: max:0.679, min:0.464, mean:0.609
 299: max:0.679, min:0.464, mean:0.610
 300: max:0.679, min:0.536, mean:0.615
 301: max:0.679, min:0.500, mean:0.618
 302: max:0.714, min:0.464, mean:0.617
 303: max:0.679, min:0.500, mean:0.614
 304: max:0.679, min:0.500, mean:0.606
 305: max:0.679, min:0.500, mean:0.611
 306: max:0.679, min:0.464, mean:0.605
 307: max:0.679, min:0.464, mean:0.606
 308: max:0.679, min:0.536, mean:0.606
 309: max:0.679, min:0.500, mean:0.604
 310: max:0.679, min:0.500, mean:0.603
 311: max:0.679, min:0.500, mean:0.595
 312: max:0.643, min:0.464, mean:0.589
 313: max:0.643, min:0.500, mean:0.593
 314: max:0.643, min:0.464, mean:0.594
 315: max:0.643, min:0.536, mean:0.593
 316: max:0.643, min:0.464, mean:0.589
 317: max:0.643, min:0.500, mean:0.588
 318: max:0.643, min:0.464, mean:0.588
 319: max:0.643, min:0.464, mean:0.588
 320: max:0.643, min:0.500, mean:0.585
 321: max:0.643, min:0.464, mean:0.582
 322: max:0.643, min:0.500, mean:0.585
 323: max:0.643, min:0.464, mean:0.576
 324: max:0.643, min:0.464, mean:0.576
 325: max:0.643, min:0.464, mean:0.577
 326: max:0.643, min:0.464, mean:0.579
 327: max:0.679, min:0.429, mean:0.583
 328: max:0.643, min:0.464, mean:0.581
 329: max:0.643, min:0.464, mean:0.585
 330: max:0.643, min:0.357, mean:0.585
 331: max:0.643, min:0.464, mean:0.590
 332: max:0.643, min:0.464, mean:0.587
 333: max:0.679, min:0.500, mean:0.585
 334: max:0.679, min:0.464, mean:0.589
 335: max:0.679, min:0.500, mean:0.595
 336: max:0.679, min:0.464, mean:0.602
 337: max:0.679, min:0.500, mean:0.611
 338: max:0.714, min:0.536, mean:0.617
 339: max:0.714, min:0.429, mean:0.619
 340: max:0.714, min:0.536, mean:0.626
 341: max:0.679, min:0.536, mean:0.627
 342: max:0.714, min:0.500, mean:0.627
 343: max:0.679, min:0.536, mean:0.629
 344: max:0.714, min:0.536, mean:0.625
 345: max:0.714, min:0.536, mean:0.625
 346: max:0.714, min:0.464, mean:0.622
 347: max:0.714, min:0.500, mean:0.623
 348: max:0.714, min:0.500, mean:0.624
 349: max:0.679, min:0.536, mean:0.621
 350: max:0.679, min:0.536, mean:0.627
 351: max:0.679, min:0.500, mean:0.628
 352: max:0.679, min:0.500, mean:0.626
 353: max:0.679, min:0.500, mean:0.625
 354: max:0.679, min:0.464, mean:0.630
 355: max:0.714, min:0.500, mean:0.632
 356: max:0.714, min:0.536, mean:0.626
 357: max:0.714, min:0.536, mean:0.629
 358: max:0.714, min:0.536, mean:0.624
 359: max:0.679, min:0.500, mean:0.623
 360: max:0.679, min:0.500, mean:0.622
 361: max:0.679, min:0.429, mean:0.624
 362: max:0.679, min:0.536, mean:0.623
 363: max:0.679, min:0.500, mean:0.620
