 412: max:0.679, min:0.536, mean:0.627
 413: max:0.714, min:0.500, mean:0.624
 414: max:0.679, min:0.500, mean:0.624
 415: max:0.679, min:0.536, mean:0.622
 416: max:0.679, min:0.536, mean:0.629
 417: max:0.679, min:0.536, mean:0.631
 418: max:0.714, min:0.500, mean:0.629
 419: max:0.679, min:0.500, mean:0.628
 420: max:0.679, min:0.500, mean:0.624
 421: max:0.679, min:0.536, mean:0.623
 422: max:0.679, min:0.464, mean:0.621
 423: max:0.679, min:0.536, mean:0.627
 424: max:0.679, min:0.464, mean:0.630
 425: max:0.679, min:0.500, mean:0.624
 426: max:0.714, min:0.571, mean:0.624
 427: max:0.714, min:0.464, mean:0.617
 428: max:0.714, min:0.500, mean:0.617
 429: max:0.714, min:0.500, mean:0.619
 430: max:0.714, min:0.500, mean:0.622
 431: max:0.714, min:0.500, mean:0.624
 432: max:0.714, min:0.500, mean:0.630
 433: max:0.714, min:0.500, mean:0.641
 434: max:0.714, min:0.536, mean:0.644
 435: max:0.750, min:0.536, mean:0.650
 436: max:0.750, min:0.500, mean:0.647
 437: max:0.714, min:0.536, mean:0.650
 438: max:0.714, min:0.500, mean:0.649
 439: max:0.714, min:0.536, mean:0.657
 440: max:0.714, min:0.571, mean:0.662
 441: max:0.714, min:0.536, mean:0.666
 442: max:0.714, min:0.571, mean:0.665
 443: max:0.714, min:0.536, mean:0.657
 444: max:0.714, min:0.536, mean:0.660
 445: max:0.714, min:0.571, mean:0.667
 446: max:0.714, min:0.536, mean:0.660
 447: max:0.714, min:0.571, mean:0.655
 448: max:0.714, min:0.536, mean:0.658
 449: max:0.750, min:0.571, mean:0.657
 450: max:0.750, min:0.536, mean:0.654
 451: max:0.750, min:0.536, mean:0.658
 452: max:0.750, min:0.536, mean:0.652
 453: max:0.750, min:0.536, mean:0.654
 454: max:0.750, min:0.536, mean:0.658
 455: max:0.714, min:0.536, mean:0.654
 456: max:0.750, min:0.536, mean:0.657
 457: max:0.750, min:0.536, mean:0.664
 458: max:0.750, min:0.536, mean:0.662
 459: max:0.750, min:0.571, mean:0.659
 460: max:0.714, min:0.536, mean:0.659
 461: max:0.714, min:0.536, mean:0.657
 462: max:0.714, min:0.571, mean:0.659
 463: max:0.714, min:0.571, mean:0.654
 464: max:0.714, min:0.571, mean:0.651
 465: max:0.714, min:0.536, mean:0.649
 466: max:0.714, min:0.536, mean:0.646
 467: max:0.750, min:0.571, mean:0.648
 468: max:0.750, min:0.571, mean:0.656
 469: max:0.750, min:0.536, mean:0.657
 470: max:0.750, min:0.536, mean:0.652
 471: max:0.750, min:0.500, mean:0.660
 472: max:0.750, min:0.571, mean:0.666
 473: max:0.750, min:0.536, mean:0.667
 474: max:0.750, min:0.536, mean:0.671
 475: max:0.750, min:0.536, mean:0.667
 476: max:0.750, min:0.571, mean:0.675
 477: max:0.750, min:0.536, mean:0.676
 478: max:0.750, min:0.571, mean:0.674
 479: max:0.750, min:0.571, mean:0.681
 480: max:0.750, min:0.536, mean:0.685
 481: max:0.750, min:0.607, mean:0.688
 482: max:0.786, min:0.571, mean:0.696
 483: max:0.750, min:0.571, mean:0.694
 484: max:0.786, min:0.571, mean:0.695
 485: max:0.750, min:0.571, mean:0.691
 486: max:0.750, min:0.571, mean:0.688
 487: max:0.750, min:0.571, mean:0.691
 488: max:0.750, min:0.536, mean:0.693
 489: max:0.750, min:0.607, mean:0.693
 490: max:0.750, min:0.536, mean:0.682
 491: max:0.750, min:0.571, mean:0.678
 492: max:0.750, min:0.571, mean:0.672
 493: max:0.750, min:0.571, mean:0.674
 494: max:0.750, min:0.536, mean:0.677
 495: max:0.750, min:0.536, mean:0.676
 496: max:0.750, min:0.536, mean:0.669
 497: max:0.750, min:0.571, mean:0.671
 498: max:0.750, min:0.571, mean:0.676
 499: max:0.750, min:0.571, mean:0.675
 500: max:0.750, min:0.571, mean:0.682
 501: max:0.750, min:0.571, mean:0.687
 502: max:0.750, min:0.536, mean:0.678
 503: max:0.750, min:0.571, mean:0.680
 504: max:0.750, min:0.571, mean:0.680
 505: max:0.750, min:0.607, mean:0.684
 506: max:0.750, min:0.571, mean:0.681
 507: max:0.750, min:0.536, mean:0.681
 508: max:0.750, min:0.571, mean:0.679
 509: max:0.750, min:0.607, mean:0.687
 510: max:0.750, min:0.571, mean:0.692
 511: max:0.750, min:0.607, mean:0.690
 512: max:0.786, min:0.607, mean:0.691
 513: max:0.786, min:0.607, mean:0.681
 514: max:0.786, min:0.571, mean:0.679
 515: max:0.786, min:0.571, mean:0.681
 516: max:0.786, min:0.571, mean:0.682
 517: max:0.750, min:0.500, mean:0.687
 518: max:0.750, min:0.500, mean:0.680
 519: max:0.750, min:0.500, mean:0.684
 520: max:0.750, min:0.536, mean:0.682
 521: max:0.750, min:0.607, mean:0.691
 522: max:0.750, min:0.571, mean:0.689
 523: max:0.750, min:0.571, mean:0.693
 524: max:0.750, min:0.536, mean:0.692
 525: max:0.750, min:0.536, mean:0.690
 526: max:0.750, min:0.607, mean:0.691
 527: max:0.750, min:0.571, mean:0.686
 528: max:0.786, min:0.571, mean:0.685
 529: max:0.750, min:0.571, mean:0.689
 530: max:0.750, min:0.536, mean:0.686
 531: max:0.750, min:0.571, mean:0.683
 532: max:0.750, min:0.536, mean:0.669
 533: max:0.714, min:0.571, mean:0.667
 534: max:0.714, min:0.500, mean:0.662
 535: max:0.750, min:0.536, mean:0.671
